sample	read_technology	coverage	dataset	reference	aligner	preset	mapper_tag	configuration	statistics_file	cram_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	reads_mq0	reads_mq0_percent	mapq_mean	mapq_median	secondary_alignments	secondary_alignments_per_100_mapped_reads	supplementary_alignments	supplementary_alignments_per_100_mapped_reads	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertion_events	deletion_events	inserted_bases	deleted_bases	insertion_events_per_100kb	deletion_events_per_100kb	soft_clipped_bases	soft_clipped_percent	average_length	maximum_length	mean_coverage	median_coverage	breadth_1x_percent	breadth_10x_percent	breadth_20x_percent	breadth_30x_percent	runtime_seconds	peak_ram_mb	threads	aligner_version	samtools_version	aligner_docker_image	samtools_docker_image	metrics_complete	missing_metrics
HG002	PacBio	30x	HG002.pb.30x	hg38	VG Giraffe	vg-pb	vg-pb	vg-pb	cram/HG002.pb.30x.hg38.vg-pb.cram.stats	cram/HG002.pb.30x.hg38.vg-pb.cram	6736453	6714908	21545	99.680173	31806	0.473662	NA	NA	0	0	0	0	94336001094	94086662461	93392245219	99.735691	999901444	0.010706	1.070647	81298202	67671196	211989171	192850378	87.05027	72.459117	NA	NA	14003	51415	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	ONT	1k	HG003.ont.1k	hg38	VACMap	vacmap-ont	vacmap-ont	vacmap-ont	cram/HG003.ont.1k.hg38.vacmap-ont.cram.stats	cram/HG003.ont.1k.hg38.vacmap-ont.cram	992	992	0	100	260	26.209677	30.090726	16	0	0	2141	215.826613	12802595	12802595	12652515	100	260375	0.020579	2.057891	27373	50885	41708	106993	216.344339	402.173007	NA	NA	12906	74299	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	ONT	30x	HG003.ont.30x	hg38	minimap2	map-ont	mm2-ont	mm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	NA	6938685	6534420	404265	94.173752	62459	0.955846	NA	NA	2209813	33.818044	564497	8.638823	94906798668	94643907161	94296387842	99.723	2647718996	0.028079	2.807869	NA	NA	NA	NA	NA	NA	NA	NA	13678	1365688	NA	NA	NA	NA	NA	NA	9139.646	37361.664	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	ONT	30x	HG003.ont.30x	hg38	pbmm2	SUBREAD	pbmm2-ont	pbmm2-ont	samtools_stats_30x_Christian/HG003_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	NA	6938685	6509045	429640	93.808049	54901	0.843457	NA	NA	0	0	579684	8.905823	94906798668	94557542126	93653338869	99.632001	2331047806	0.02489	2.489017	NA	NA	NA	NA	NA	NA	NA	NA	13678	1365688	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	ONT	30x	HG003.ont.30x	hg38	VACMap	vacmap-ont	vacmap-ont	vacmap-ont	cram/HG003.ont.30x.hg38.vacmap-ont.cram.stats	cram/HG003.ont.30x.hg38.vacmap-ont.cram	6428625	6428625	0	100	127832	1.988481	57.686916	60	0	0	4114801	64.007482	94171462471	94171462471	93096950059	100	1379388723	0.014817	1.481669	143924303	197448698	255471058	393409608	154.596153	212.08933	NA	NA	14649	1365688	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	ONT	30x	HG003.ont.30x	hg38	VG Giraffe	vg-ont	vg-ont	vg-ont	cram/HG003.ont.30x.hg38.vg-ont.cram.stats	cram/HG003.ont.30x.hg38.vg-ont.cram	6938685	6439363	499322	92.803795	118442	1.839343	NA	NA	0	0	0	0	94906798668	90452716036	87970816405	95.306888	1775550287	0.020183	2.01834	128969664	165286778	315124787	377011524	146.605055	187.888194	NA	NA	13677	1365688	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	mapq_mean,mapq_median,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	1k	HG003.pb.1k	hg38	VACMap	vacmap-pb	vacmap-pb	vacmap-pb	cram/HG003.pb.1k.hg38.vacmap-pb.cram.stats	cram/HG003.pb.1k.hg38.vacmap-pb.cram	1000	1000	0	100	176	17.6	43.836	60	0	0	615	61.5	14032604	14032604	13975321	100	85215	0.006098	0.609753	11160	11109	16278	21549	79.855053	79.490124	NA	NA	14033	32907	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	30x	HG003.pb.30x	hg38	minimap2	map-hifi	mm2-pb	mm2-pb	samtools_stats_30x_Christian/HG003_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	NA	6621583	6607336	14247	99.78484	9259	0.140132	NA	NA	1471627	22.272622	251272	3.802925	93293694245	93143250746	93073206292	99.838742	1250359813	0.013434	1.343415	73532063	65509216	172627319	173984294	79.004545	70.384613	NA	NA	14089	49762	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	30x	HG003.pb.30x	hg38	pbmm2	CCS/HIFI	pbmm2-pb	pbmm2-pb	samtools_stats_30x_Christian/HG003_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	NA	6621583	6619070	2513	99.962048	9379	0.141697	NA	NA	0	0	351521	5.310731	93293694245	93268858653	92847445611	99.973379	1095509707	0.011799	1.179903	73467898	65549210	172871559	169233332	79.127538	70.59883	NA	NA	14089	49762	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	NA	NO	mapq_mean,mapq_median,insertion_events,deletion_events,inserted_bases,deleted_bases,insertion_events_per_100kb,deletion_events_per_100kb,soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
HG003	PacBio	30x	HG003.pb.30x	hg38	VACMap	vacmap-pb	vacmap-pb	vacmap-pb	cram/HG003.pb.30x.hg38.vacmap-pb.cram.stats	cram/HG003.pb.30x.hg38.vacmap-pb.cram	6590883	6590883	0	100	81763	1.240547	58.755129	60	0	0	2772887	42.071556	92941941630	92941941630	92734592987	100	644784006	0.006953	0.6953	73087977	66277465	112245012	128274952	78.814145	71.470055	NA	NA	14102	49762	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NO	soft_clipped_bases,soft_clipped_percent,mean_coverage,median_coverage,breadth_1x_percent,breadth_10x_percent,breadth_20x_percent,breadth_30x_percent,runtime_seconds,peak_ram_mb,aligner_version,samtools_version,aligner_docker_image,samtools_docker_image
