sample	read_technology	aligner	preset	configuration	statistics_file	raw_total_sequences	reads_mapped	reads_unmapped	mapped_reads_percent	total_length	bases_mapped	bases_mapped_cigar	mapped_bases_percent	mismatches	error_rate	error_percent	insertions	deletions	average_length	maximum_length	non_primary_alignments	reads_mq0	supplementary_alignments	threads	samtools_version	reads_mq0_percent	secondary_alignments_per_100_mapped_reads	supplementary_alignments_per_100_mapped_reads	wallclock_runtime_hms	wallclock_runtime_seconds	wallclock_runtime_hours	wallclock_runtime_source_log	vacmap_internal_runtime_hms	vacmap_internal_runtime_seconds	vacmap_internal_runtime_hours	vacmap_internal_runtime_source_log	runtime_configuration	cpu_time_seconds	peak_ram_gb
HG003	ONT	VACmap	vacmap-ont	vacmap-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.ont.30x.hg38.vacmap-ont.cram.stats	6428625	6428625	0	100.0	94171462471	94171462471	93096950059	100.0	1379388723	0.01481669	1.4817			14649.0	1365688	0	127832	4114801	16	1.24	1.988481207101052	0.0	64.00748215987089	13:53:52	50032.0	13.897777777777778	alignment_analysis/logs/logs_VG_VACmap/HG003.ont.30x.hg38.vacmap-ont.map_sort.log	12:42:00	45720.0	12.7	alignment_analysis/logs/logs_VG_VACmap/HG003.ont.30x.hg38.vacmap-ont.map_sort.log			
HG003	ONT	VG Giraffe	vg-ont	vg-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.ont.30x.hg38.vg-ont.cram.stats	6938685	6439363	499322	92.8038	94906798668	90452716036	87970816405	95.3069	1775550287	0.0201834	2.0183			13677.0	1365688	0	118442	0	16	1.24	1.839343425739472	0.0	0.0	04:27:38	16058.0	4.460555555555556	alignment_analysis/logs/logs_VG_VACmap/HG003.ont.30x.hg38.vg-ont.map_sort.log							
HG003	PacBio	minimap2	map-hifi	mm2-pb	samtools_stats_30x_Christian/HG003_pb_30x.hg38.mm2-pb.cram.stats.SN.txt	6621583	6607336	14247	99.7848	93293694245	93143250746	93073206292	99.8387	1250359813	0.01343415	1.3434			14089.0	49762	1471627	9259	251272	64	1.24	0.1401321198134921	22.27262243058322	3.802924506941981											
HG003	PacBio	pbmm2	CCS	pbmm2-pb	samtools_stats_30x_Christian/HG003_pb_30x.hg38.pbmm2-pb.cram.stats.SN.txt	6621583	6619070	2513	99.962	93293694245	93268858653	92847445611	99.9734	1095509707	0.01179903	1.1799			14089.0	49762	0	9379	351521	64	1.24	0.1416966431840122	0.0	5.310730963715447	01:32:00	5520	1.533333333333	alignment_analysis/logs/Logs_files_pbmm2/HG003.pb.30x.hg38.pbmm2-pb.cram.log					pbmm2-pb	273600	59.809
HG003	PacBio	VACmap	vacmap-pb	vacmap-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.pb.30x.hg38.vacmap-pb.cram.stats	6590883	6590883	0	100.0	92941941630	92941941630	92734592987	100.0	644784006	0.006953	0.6953			14102.0	49762	0	81763	2772887	16	1.24	1.240546979820458	0.0	42.07155551084733	09:11:59	33119.0	9.199722222222222	alignment_analysis/logs/logs_VG_VACmap/HG003.pb.30x.hg38.vacmap-pb.map_sort.log	08:42:19	31339.0	8.705277777777777	alignment_analysis/logs/logs_VG_VACmap/HG003.pb.30x.hg38.vacmap-pb.map_sort.log			
HG003	PacBio	VG Giraffe	vg-pb	vg-pb	samtools_stats_30x_Christian/vacmap_vg_stats/HG003.pb.30x.hg38.vg-pb.cram.stats	6621583	6602757	18826	99.7157	93293694245	93070386820	92386682869	99.7606	977409807	0.01057955	1.058			14089.0	49762	0	28591	0	16	1.24	0.4330160870678718	0.0	0.0	03:36:24	12984.0	3.6066666666666665	alignment_analysis/logs/logs_VG_VACmap/HG003.pb.30x.hg38.vg-pb.map_sort.log							
HG004	ONT	minimap2	map-ont	mm2-ont	samtools_stats_30x_Christian/HG004_ont_30x.hg38.mm2-ont.cram.stats.SN.txt	7046468	6741526	304942	95.6724	93459874103	93244324332	92835949268	99.7694	2621022211	0.02823284	2.8233			13263.0	1700750	2005935	58199	442022	64	1.24	0.8632911895615325	29.7549100900894	6.556705410614748	02:22:32	8551.642	2.375456111111111	mm2.run_metrics.tsv					mm2-ont	487589.139	38.123
HG004	ONT	pbmm2	SUBREAD	pbmm2-ont	samtools_stats_30x_Christian/HG004_ont_30x.hg38.pbmm2-ont.cram.stats.SN.txt	7046468	6718367	328101	95.3438	93459874103	93162323710	92288524529	99.6816	2325377914	0.02519682	2.5197			13263.0	1700750	0	52433	513189	64	1.24	0.7804426283946679	0.0	7.638597296039349	01:29:00	5340	1.483333333333	alignment_analysis/logs/Logs_files_pbmm2/HG004.ont.30x.hg38.pbmm2-ont.cram.log					pbmm2-ont	255600	63.992
HG004	ONT	VACmap	vacmap-ont	vacmap-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG004.ont.30x.hg38.vacmap-ont.cram.stats	6630815	6630815	0	100.0	92775444750	92775444750	91682370246	100.0	1356167535	0.01479202	1.4792			13992.0	1334475	0	111031	3979871	16	1.24	1.6744698803993172	0.0	60.02084208351462	13:24:47	48287.0	13.413055555555555	alignment_analysis/logs/logs_VG_VACmap/HG004.ont.30x.hg38.vacmap-ont.map_sort.log	12:15:16	44116.0	12.254444444444443	alignment_analysis/logs/logs_VG_VACmap/HG004.ont.30x.hg38.vacmap-ont.map_sort.log			
HG004	ONT	VG Giraffe	vg-ont	vg-ont	samtools_stats_30x_Christian/vacmap_vg_stats/HG004.ont.30x.hg38.vg-ont.cram.stats	7046468	6616356	430112	93.8961	93459874103	89347659978	87357823095	95.6	1782054868	0.02039949	2.0399			13263.0	1700750	0	94928	0	16	1.24	1.4347474652210372	0.0	0.0	04:48:21	17301.0	4.805833333333333	alignment_analysis/logs/logs_VG_VACmap/HG004.ont.30x.hg38.vg-ont.map_sort.log							
